Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): Champaign, Illinois, USA
Station Name: -
Latitude: 40.0962 Degree
Longitude: -88.2574 Degree
Elevation (USGS): 755 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.409,0.485,0.575,0.647,0.740,0.812,0.884,0.960,1.06,1.14
10-min:, 0.635,0.757,0.893,0.999,1.13,1.23,1.33,1.43,1.56,1.66
15-min:, 0.779,0.926,1.10,1.23,1.40,1.52,1.65,1.78,1.95,2.07
30-min:, 1.03,1.24,1.50,1.71,1.98,2.18,2.39,2.60,2.88,3.10
60-min:, 1.26,1.52,1.88,2.17,2.56,2.87,3.19,3.53,3.99,4.36
2-hr:, 1.50,1.81,2.23,2.57,3.08,3.52,4.02,4.58,5.44,6.19
3-hr:, 1.61,1.94,2.39,2.76,3.33,3.83,4.40,5.04,6.03,6.92
6-hr:, 1.90,2.28,2.80,3.25,3.91,4.50,5.16,5.92,7.09,8.13
12-hr:, 2.22,2.67,3.25,3.75,4.49,5.14,5.87,6.70,7.98,9.11
24-hr:, 2.57,3.07,3.73,4.31,5.19,5.98,6.88,7.94,9.57,11.1
2-day:, 2.99,3.55,4.29,4.92,5.88,6.74,7.71,8.83,10.6,12.1
3-day:, 3.20,3.81,4.57,5.22,6.19,7.05,8.01,9.10,10.8,12.3
4-day:, 3.41,4.06,4.85,5.52,6.50,7.36,8.30,9.36,11.0,12.5
7-day:, 4.03,4.76,5.58,6.27,7.27,8.13,9.06,10.1,11.6,13.0
10-day:, 4.59,5.42,6.34,7.08,8.16,9.06,10.0,11.1,12.6,13.9
20-day:, 6.28,7.37,8.48,9.37,10.6,11.6,12.7,13.9,15.5,16.8
30-day:, 7.74,9.06,10.3,11.4,12.8,14.1,15.4,16.8,18.8,20.4
45-day:, 9.70,11.3,12.8,14.0,15.7,17.1,18.5,20.0,22.1,23.7
60-day:, 11.5,13.5,15.2,16.6,18.5,20.0,21.6,23.3,25.7,27.5

Date/time (GMT):  Mon Jun 19 14:23:29 2023
pyRunTime:  0.013230323791503906
